session_id,actor_type,bot_type,event_type,x,y,timestamp
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103567
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103569
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103573
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103571
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103574
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103576
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103578
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103579
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103580
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103581
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103582
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103583
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103584
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103585
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103586
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103589
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103588
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103591
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103592
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103594
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103594
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,keydown,,,1774697103596
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,mousemove,264,575,1774697103707
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,click,264,575,1774697103709
cccdf178-e77b-4c6b-a237-3fbb798d69c1,bot,fast,page_screen_change,,,1774697103709
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,page_screen_change,,,1774697184562
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,focus_change,,,1774697185385
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,page_screen_change,,,1774697185413
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186040
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186044
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186046
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186049
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186052
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186054
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186056
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186057
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186058
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186059
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186060
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186061
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186063
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186064
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186066
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186068
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186069
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186070
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186071
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186072
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,46.400001525878906,,1774697186131
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186138
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186142
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186145
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186144
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186147
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186148
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186150
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186151
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186153
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186154
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697186155
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,78.4000015258789,,1774697186197
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,mousemove,59,644,1774697186223
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,59,644,1774697186224
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,scroll,145.60000610351562,,1774697186279
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,click,264,626,1774697186294
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,page_screen_change,,,1774697186295
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,focus_change,,,1774697186321
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,page_screen_change,,,1774697186376
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187032
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187034
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187036
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187037
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187038
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187039
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187041
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187042
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187044
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187045
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187046
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187047
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187049
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187051
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187052
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187053
4770ca28-0102-41f8-83c9-bc0b8c2f9ac0,bot,fast,keydown,,,1774697187055
